@relation running-example1-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Discretize-B42-M-1.0-R2-weka.filters.unsupervised.attribute.Remove-R5

@attribute CaseID {1,2,3,4,5,6}
@attribute EventID {'\'(-inf-35654433.809524]\'','\'(35654433.809524-35654444.619048]\'','\'(35654444.619048-35654455.428571]\'','\'(35654455.428571-35654466.238095]\'','\'(35654466.238095-35654477.047619]\'','\'(35654477.047619-35654487.857143]\'','\'(35654487.857143-35654498.666667]\'','\'(35654498.666667-35654509.47619]\'','\'(35654509.47619-35654520.285714]\'','\'(35654520.285714-35654531.095238]\'','\'(35654531.095238-35654541.904762]\'','\'(35654541.904762-35654552.714286]\'','\'(35654552.714286-35654563.52381]\'','\'(35654563.52381-35654574.333333]\'','\'(35654574.333333-35654585.142857]\'','\'(35654585.142857-35654595.952381]\'','\'(35654595.952381-35654606.761905]\'','\'(35654606.761905-35654617.571429]\'','\'(35654617.571429-35654628.380952]\'','\'(35654628.380952-35654639.190476]\'','\'(35654639.190476-35654650]\'','\'(35654650-35654660.809524]\'','\'(35654660.809524-35654671.619048]\'','\'(35654671.619048-35654682.428571]\'','\'(35654682.428571-35654693.238095]\'','\'(35654693.238095-35654704.047619]\'','\'(35654704.047619-35654714.857143]\'','\'(35654714.857143-35654725.666667]\'','\'(35654725.666667-35654736.47619]\'','\'(35654736.47619-35654747.285714]\'','\'(35654747.285714-35654758.095238]\'','\'(35654758.095238-35654768.904762]\'','\'(35654768.904762-35654779.714286]\'','\'(35654779.714286-35654790.52381]\'','\'(35654790.52381-35654801.333333]\'','\'(35654801.333333-35654812.142857]\'','\'(35654812.142857-35654822.952381]\'','\'(35654822.952381-35654833.761905]\'','\'(35654833.761905-35654844.571429]\'','\'(35654844.571429-35654855.380952]\'','\'(35654855.380952-35654866.190476]\'','\'(35654866.190476-inf)\''}
@attribute dd-MM-yyyy:HH.mm {30-12-2010:11.02,31-12-2010:10.06,05-01-2011:15.12,06-01-2011:11.18,07-01-2011:14.24,30-12-2010:11.32,30-12-2010:12.12,30-12-2010:14.16,05-01-2011:11.22,08-01-2011:12.05,30-12-2010:14.32,30-12-2010:15.06,30-12-2010:16.34,06-01-2011:09.18,06-01-2011:12.18,06-01-2011:13.06,08-01-2011:11.43,09-01-2011:09.55,15-01-2011:10.45,06-01-2011:15.02,07-01-2011:12.06,08-01-2011:14.43,09-01-2011:12.02,12-01-2011:15.44,06-01-2011:09.02,07-01-2011:10.16,08-01-2011:11.22,10-01-2011:13.28,11-01-2011:16.18,14-01-2011:14.33,16-01-2011:15.50,19-01-2011:11.18,20-01-2011:12.48,21-01-2011:09.06,21-01-2011:11.34,23-01-2011:13.12,24-01-2011:14.56,06-01-2011:16.06,07-01-2011:16.22,07-01-2011:16.52,16-01-2011:11.47}
@attribute Activity {'register request','examine thoroughly','check ticket',decide,'reject request','examine casually','pay compensation','reinitiate request'}

@data
1,'\'(-inf-35654433.809524]\'',30-12-2010:11.02,'register request'
1,'\'(-inf-35654433.809524]\'',31-12-2010:10.06,'examine thoroughly'
1,'\'(-inf-35654433.809524]\'',05-01-2011:15.12,'check ticket'
1,'\'(-inf-35654433.809524]\'',06-01-2011:11.18,decide
1,'\'(-inf-35654433.809524]\'',07-01-2011:14.24,'reject request'
2,'\'(35654477.047619-35654487.857143]\'',30-12-2010:11.32,'register request'
2,'\'(35654477.047619-35654487.857143]\'',30-12-2010:12.12,'check ticket'
2,'\'(35654477.047619-35654487.857143]\'',30-12-2010:14.16,'examine casually'
2,'\'(35654487.857143-35654498.666667]\'',05-01-2011:11.22,decide
2,'\'(35654487.857143-35654498.666667]\'',08-01-2011:12.05,'pay compensation'
3,'\'(35654520.285714-35654531.095238]\'',30-12-2010:14.32,'register request'
3,'\'(35654520.285714-35654531.095238]\'',30-12-2010:15.06,'examine casually'
3,'\'(35654520.285714-35654531.095238]\'',30-12-2010:16.34,'check ticket'
3,'\'(35654520.285714-35654531.095238]\'',06-01-2011:09.18,decide
3,'\'(35654520.285714-35654531.095238]\'',06-01-2011:12.18,'reinitiate request'
3,'\'(35654520.285714-35654531.095238]\'',06-01-2011:13.06,'examine thoroughly'
3,'\'(35654520.285714-35654531.095238]\'',08-01-2011:11.43,'check ticket'
3,'\'(35654520.285714-35654531.095238]\'',09-01-2011:09.55,decide
3,'\'(35654531.095238-35654541.904762]\'',15-01-2011:10.45,'pay compensation'
4,'\'(35654639.190476-35654650]\'',06-01-2011:15.02,'register request'
4,'\'(35654639.190476-35654650]\'',07-01-2011:12.06,'check ticket'
4,'\'(35654639.190476-35654650]\'',08-01-2011:14.43,'examine thoroughly'
4,'\'(35654639.190476-35654650]\'',09-01-2011:12.02,decide
4,'\'(35654639.190476-35654650]\'',12-01-2011:15.44,'reject request'
5,'\'(35654704.047619-35654714.857143]\'',06-01-2011:09.02,'register request'
5,'\'(35654704.047619-35654714.857143]\'',07-01-2011:10.16,'examine casually'
5,'\'(35654704.047619-35654714.857143]\'',08-01-2011:11.22,'check ticket'
5,'\'(35654714.857143-35654725.666667]\'',10-01-2011:13.28,decide
5,'\'(35654714.857143-35654725.666667]\'',11-01-2011:16.18,'reinitiate request'
5,'\'(35654714.857143-35654725.666667]\'',14-01-2011:14.33,'check ticket'
5,'\'(35654714.857143-35654725.666667]\'',16-01-2011:15.50,'examine casually'
5,'\'(35654714.857143-35654725.666667]\'',19-01-2011:11.18,decide
5,'\'(35654714.857143-35654725.666667]\'',20-01-2011:12.48,'reinitiate request'
5,'\'(35654714.857143-35654725.666667]\'',21-01-2011:09.06,'examine casually'
5,'\'(35654714.857143-35654725.666667]\'',21-01-2011:11.34,'check ticket'
5,'\'(35654714.857143-35654725.666667]\'',23-01-2011:13.12,decide
5,'\'(35654725.666667-35654736.47619]\'',24-01-2011:14.56,'reject request'
6,'\'(35654866.190476-inf)\'',06-01-2011:15.02,'register request'
6,'\'(35654866.190476-inf)\'',06-01-2011:16.06,'examine casually'
